pid,year,yearly_total,cumulative_amount
93,2011,10526.0,108696.0
93,2012,9367.0,118063.0
93,2013,8675.0,126738.0
93,2014,8604.0,135342.0
93,2015,8036.0,143378.0
93,2016,9628.0,153006.0
93,2017,11835.0,164841.0
93,2018,11483.0,176324.0
93,2021,1929.0,178253.0
94,2000,3125.0,3125.0
94,2001,1500.0,4625.0
94,2004,4100.0,8725.0
94,2005,8200.0,16925.0
95,2000,4820.0,4820.0
96,1998,500.0,500.0
97,1997,1500.0,1500.0
97,1998,4500.0,6000.0
97,1999,3000.0,9000.0
98,1998,8220.0,8220.0
98,1999,14723.0,22943.0
98,2000,5000.0,27943.0
98,2013,8149.0,36092.0
98,2014,10664.0,46756.0
98,2016,10144.0,56900.0
98,2017,15017.0,71917.0
98,2022,8263.0,80180.0
98,2023,4424.0,84604.0
99,1999,2058.0,2058.0
99,2009,4000.0,6058.0
99,2010,3000.0,9058.0
99,2011,12100.0,21158.0
99,2012,28550.0,49708.0
99,2013,27929.0,77637.0
99,2014,29880.0,107517.0
99,2015,11263.0,118780.0
99,2016,14899.0,133679.0
99,2017,36558.0,170237.0
99,2018,17170.0,187407.0
99,2019,18470.0,205877.0
99,2020,7797.0,213674.0
99,2021,11123.0,224797.0
99,2022,20611.0,245408.0
99,2023,19216.0,264624.0
100,2000,500.0,500.0
101,1999,1680.0,1680.0
102,1999,1436.0,1436.0
102,2000,510.0,1946.0
102,2002,1450.0,3396.0
103,1997,500.0,500.0
104,1998,1500.0,1500.0
104,1999,25000.0,26500.0
104,2000,250.0,26750.0
104,2001,8750.0,35500.0
105,1996,1020.0,1020.0
105,1997,1020.0,2040.0
106,1997,501.0,501.0
106,1998,1000.0,1501.0
106,1999,1000.0,2501.0
106,2000,11000.0,13501.0
107,2000,2500.0,2500.0
108,1999,1000.0,1000.0
110,1997,750.0,750.0
111,2000,2000.0,2000.0
111,2001,29200.0,31200.0
111,2002,13600.0,44800.0
111,2003,13851.0,58651.0
111,2004,53655.0,112306.0
111,2005,15725.0,128031.0
111,2006,14800.0,142831.0
111,2007,27943.0,170774.0
111,2008,15242.0,186016.0
111,2009,15540.0,201556.0
111,2010,18530.0,220086.0
111,2012,3050.0,223136.0
111,2014,6729.0,229865.0
111,2016,32363.0,262228.0
111,2018,24848.0,287076.0
111,2019,14972.0,302048.0
112,2000,1500.0,1500.0
112,2001,4500.0,6000.0
112,2002,500.0,6500.0
112,2003,3900.0,10400.0
112,2004,42460.0,52860.0
113,1997,5660.0,5660.0
114,1999,1200.0,1200.0
114,2000,1200.0,2400.0
114,2001,2400.0,4800.0
114,2003,2000.0,6800.0
114,2005,2400.0,9200.0
116,1998,6250.0,6250.0
116,1999,1000.0,7250.0
117,1999,4500.0,4500.0
117,2000,9500.0,14000.0
117,2001,4300.0,18300.0
117,2002,6376.0,24676.0
117,2003,6400.0,31076.0
117,2004,5900.0,36976.0
117,2005,2700.0,39676.0
117,2006,7000.0,46676.0
117,2007,3500.0,50176.0
117,2008,7000.0,57176.0
117,2009,3500.0,60676.0
117,2010,5000.0,65676.0
118,1998,2500.0,2500.0
118,1999,13500.0,16000.0
120,1997,2000.0,2000.0
120,2000,2000.0,4000.0
120,2001,2000.0,6000.0
120,2003,2200.0,8200.0
120,2004,2200.0,10400.0
120,2005,36861.0,47261.0
120,2006,12.0,47273.0
121,1999,1020.0,1020.0
121,2000,1520.0,2540.0
121,2007,10800.0,13340.0
122,2000,1000.0,1000.0
123,1998,250.0,250.0
123,1999,250.0,500.0
124,1999,600.0,600.0
124,2001,5000.0,5600.0
124,2002,2500.0,8100.0
124,2003,5224.0,13324.0
124,2004,15000.0,28324.0
124,2006,17700.0,46024.0
124,2007,13010.0,59034.0
124,2008,24438.0,83472.0
124,2009,8002.0,91474.0
124,2010,19075.0,110549.0
124,2011,23279.0,133828.0
124,2012,24896.0,158724.0
124,2013,58652.0,217376.0
124,2014,24951.0,242327.0
124,2015,24292.0,266619.0
124,2016,42780.0,309399.0
124,2017,33907.0,343306.0
124,2018,30557.0,373863.0
124,2019,25896.0,399759.0
